Thème (IT),Mot français,Genre grammatical,Singulier IT,Pluriel IT,Astuce mnémotechnique
100 verbi comuni,demander,—,chiedere,—,'Chiedere' → à retenir (irrégulier)
100 verbi comuni,devenir,—,diventare,—,'Diventare' → 'di + ventare' (en avant)
100 verbi comuni,devoir,—,dovere,—,'Dovere' → 'devoir' (proche)
100 verbi comuni,dire,—,dire,—,Identique au français !
100 verbi comuni,donner,—,dare,—,'Dare' → 'donner' raccourci
100 verbi comuni,dormir,—,dormire,—,'Dormire' → 'dormir' (quasi identique)
100 verbi comuni,écouter,—,ascoltare,—,'Ascoltare' → 'ausculter'
100 verbi comuni,écrire,—,scrivere,—,'Scrivere' → 'scribe'
100 verbi comuni,entendre,—,sentire,—,'Sentire' → 'sentir / percevoir'
100 verbi comuni,entrer,—,entrare,—,'Entrare' → 'entrer' (quasi identique)
100 verbi comuni,envoyer,—,mandare,—,'Mandare' → 'mandat' (envoyer officiellement)
100 verbi comuni,essayer,—,provare,—,'Provare' → 'prouver / essayer'
100 verbi comuni,être,—,essere,—,'Essere' → 'essence' (l'être)
100 verbi comuni,expliquer,—,spiegare,—,'Spiegare' → 'déplier' une explication
100 verbi comuni,faire,—,fare,—,'Fare' → court et essentiel !
100 verbi comuni,fermer,—,chiudere,—,'Chiudere' → 'clore'
100 verbi comuni,finir,—,finire,—,'Finire' → 'finir' (quasi identique)
100 verbi comuni,gagner,—,vincere,—,'Vincere' → 'vaincre'
100 verbi comuni,jouer,—,giocare,—,'Giocare' → 'jouer' (le g est doux)
100 verbi comuni,lire,—,leggere,—,'Leggere' → 'lecture' (latin legere)
100 verbi comuni,manger,—,mangiare,—,'Mangiare' → 'manger' (quasi identique)
100 verbi comuni,marcher,—,camminare,—,'Camminare' → 'chemin' à pied
100 verbi comuni,mettre,—,mettere,—,'Mettere' → 'mettre' (quasi identique)
100 verbi comuni,montrer,—,mostrare,—,'Mostrare' → 'montrer' (proche)
100 verbi comuni,oublier,—,dimenticare,—,'Dimenticare' → 'dément' (fou d'oubli)
100 verbi comuni,ouvrir,—,aprire,—,'Aprire' → 'aperture'
100 verbi comuni,parler,—,parlare,—,'Parlare' → 'parler' (quasi identique)
100 verbi comuni,partir,—,partire,—,'Partire' → 'partir' (quasi identique)
100 verbi comuni,payer,—,pagare,—,'Pagare' → 'payer' (proche)
100 verbi comuni,penser,—,pensare,—,'Pensare' → 'penser' (quasi identique)
100 verbi comuni,perdre,—,perdere,—,'Perdere' → 'perdre' (quasi identique)
100 verbi comuni,pleurer,—,piangere,—,'Piangere' → 'plainte'
100 verbi comuni,porter (vêtement),—,indossare,—,'Indossare' → 'endosser' un vêtement
100 verbi comuni,pouvoir,—,potere,—,'Potere' → 'potentiel'
100 verbi comuni,prendre,—,prendere,—,'Prendere' → 'prendre' (quasi identique)
100 verbi comuni,préparer,—,preparare,—,'Preparare' → 'préparer' (quasi identique)
100 verbi comuni,recevoir,—,ricevere,—,'Ricevere' → 'recevoir' (proche)
100 verbi comuni,refuser,—,rifiutare,—,'Rifiutare' → 'refuser' (proche)
100 verbi comuni,regarder,—,guardare,—,'Guardare' → 'garder un œil sur'
100 verbi comuni,rencontrer,—,incontrare,—,'Incontrare' → 'rencontre en chemin'
100 verbi comuni,répondre,—,rispondere,—,'Rispondere' → 'répondre' (proche)
100 verbi comuni,rester,—,restare,—,'Restare' → 'rester' (quasi identique)
100 verbi comuni,retourner,—,tornare,—,'Tornare' → 'tourner pour revenir'
100 verbi comuni,réussir,—,riuscire,—,'Riuscire' → 'ré + uscire' (sortir par le haut)
100 verbi comuni,rire,—,ridere,—,'Ridere' → 'ridicule' (qui fait rire)
100 verbi comuni,s'asseoir,—,sedersi,—,'Sedersi' → 'sédentaire' (assis)
100 verbi comuni,s'endormir,—,addormentarsi,—,'Addormentarsi' → 'endormir' + -si réfléchi
100 verbi comuni,savoir,—,sapere,—,'Sapere' → 'savoir' (latin sapere)
100 verbi comuni,se laver,—,lavarsi,—,'Lavarsi' → 'laver' + -si réfléchi
100 verbi comuni,se reposer,—,riposarsi,—,'Riposarsi' → 'repos' + -si réfléchi
100 verbi comuni,se réveiller,—,svegliarsi,—,'Svegliarsi' → à retenir par cœur
100 verbi comuni,se souvenir,—,ricordare,—,'Ricordare' → 'recorder' (enregistrer)
100 verbi comuni,sortir,—,uscire,—,'Uscire' → 'issue' (la sortie)
100 verbi comuni,suivre,—,seguire,—,'Seguire' → 'séquence' (qui suit)
100 verbi comuni,tenir,—,tenere,—,'Tenere' → 'tenir' (quasi identique)
100 verbi comuni,tomber,—,cadere,—,'Cadere' → 'cadence' (tomber en rythme)
100 verbi comuni,toucher,—,toccare,—,'Toccare' → 'toquer' (frapper = toucher)
100 verbi comuni,travailler,—,lavorare,—,'Lavorare' → 'laborer' (latin)
100 verbi comuni,trouver,—,trovare,—,'Trovare' → 'trouver' (proche)
100 verbi comuni,utiliser,—,utilizzare,—,'Utilizzare' → 'utiliser' (quasi identique)
100 verbi comuni,vendre,—,vendere,—,'Vendere' → 'vendre' (quasi identique)
100 verbi comuni,venir,—,venire,—,'Venire' → 'venir' (quasi identique)
100 verbi comuni,vivre,—,vivere,—,'Vivere' → 'vivre' (quasi identique)
100 verbi comuni,voir,—,vedere,—,'Vedere' → 'vidéo' (voir)
100 verbi comuni,voler (ciel),—,volare,—,'Volare' → chanson italienne célèbre !
100 verbi comuni,voler (qqch),—,rubare,—,'Rubare' → 'rober' (vieux français = voler)
100 verbi comuni,vouloir,—,volere,—,'Volere' → 'volonté'
100 avverbi utili,à peine,—,appena,—,'Appena' → 'à peine arrivé'
100 avverbi utili,absolument,—,assolutamente,—,'Assolutamente' → 'absolument' (quasi identique)
100 avverbi utili,actuellement,—,attualmente,—,Attention : ne signifie pas 'actuellement' mais 'en ce moment' !
100 avverbi utili,ailleurs,—,altrove,—,'Altrove' → 'autre + ove (où)' = ailleurs
100 avverbi utili,assez,—,abbastanza,—,'Abbastanza' → à retenir (long mais utile)
100 avverbi utili,aussi,—,anche,—,'Anche' → 'encore' au sens de 'aussi'
100 avverbi utili,beaucoup,—,molto,—,'Molto' → 'beaucoup' (très fréquent)
100 avverbi utili,bien,—,bene,—,'Bene' → 'bénéfique' (bien)
100 avverbi utili,bientôt,—,presto,—,'Presto' → terme musical = vite !
100 avverbi utili,certainement,—,sicuramente,—,'Sicuramente' → 'sûrement'
100 avverbi utili,clairement,—,chiaramente,—,'Chiaramente' → 'clairement' (proche)
100 avverbi utili,complètement,—,completamente,—,'Completamente' → 'complètement' (quasi identique)
100 avverbi utili,d'habitude,—,di solito,—,'Di solito' → 'de coutume habituelle'
100 avverbi utili,doucement,—,dolcemente,—,'Dolcemente' → 'doucement' (dolce = doux)
100 avverbi utili,encore,—,di nuovo,—,'Di nuovo' = de nouveau
100 avverbi utili,ensemble,—,insieme,—,'Insieme' → 'ensemble' (proche)
100 avverbi utili,ensuite,—,poi,—,'Poi' → court comme 'puis'
100 avverbi utili,environ,—,circa,—,'Circa' → 'circa' utilisé même en français !
100 avverbi utili,évidemment,—,ovviamente,—,'Ovviamente' → 'évidemment' (proche)
100 avverbi utili,exactement,—,esattamente,—,'Esattamente' → 'exactement' (quasi identique)
100 avverbi utili,facilement,—,facilmente,—,'Facilmente' → 'facilement' (quasi identique)
100 avverbi utili,finalement,—,infine,—,'Infine' → 'en fin de compte'
100 avverbi utili,franchement,—,francamente,—,'Francamente' → 'franchement' (quasi identique)
100 avverbi utili,heureusement,—,fortunatamente,—,'Fortunatamente' → 'par chance' (fortuna)
100 avverbi utili,immédiatement,—,immediatamente,—,'Immediatamente' → 'immédiatement' (quasi identique)
100 avverbi utili,jamais,—,mai,—,'Mai' → court comme un 'jamais' catégorique !
100 avverbi utili,lentement,—,lentamente,—,'Lentamente' → 'lentement' (quasi identique)
100 avverbi utili,maintenant,—,adesso,—,'Adesso' → 'à ce moment' = maintenant
100 avverbi utili,malheureusement,—,purtroppo,—,'Purtroppo' → 'pour trop' (hélas)
100 avverbi utili,naturellement,—,naturalmente,—,'Naturalmente' → 'naturellement' (quasi identique)
100 avverbi utili,parfois,—,a volte,—,'A volte' → 'à des moments' = parfois
100 avverbi utili,partout,—,ovunque,—,'Ovunque' → 'où que ce soit'
100 avverbi utili,peut-être,—,forse,—,'Forse' → court comme un doute !
100 avverbi utili,presque,—,quasi,—,'Quasi' → utilisé en français aussi !
100 avverbi utili,probablement,—,probabilmente,—,'Probabilmente' → 'probablement' (quasi identique)
100 avverbi utili,rapidement,—,rapidamente,—,'Rapidamente' → 'rapidement' (quasi identique)
100 avverbi utili,rarement,—,raramente,—,'Raramente' → 'rarement' (quasi identique)
100 avverbi utili,seulement,—,solo,—,'Solo' → 'seul/seulement' (musique solo !)
100 avverbi utili,simplement,—,semplicemente,—,'Semplicemente' → 'simplement' (proche)
100 avverbi utili,soudainement,—,all'improvviso,—,'All'improvviso' → 'à l'improviste'
100 avverbi utili,souvent,—,spesso,—,'Spesso' → à retenir par cœur
100 avverbi utili,toujours,—,sempre,—,'Sempre' → 'toujours' (musique : sempre forte)
100 avverbi utili,tout de suite,—,subito,—,'Subito' → terme musical = immédiatement !
100 avverbi utili,très,—,molto,—,'Molto' → 'beaucoup / très' (double emploi)
100 avverbi utili,vraiment,—,davvero,—,'Davvero' → 'da vero' = du vrai = vraiment
100 aggettivi utili,accueillant,m,accogliente,accoglienti,'Accogliente' → 'accueillant' (proche)
100 aggettivi utili,agréable,m/f,piacevole,piacevoli,'Piacevole' → 'plaisant'
100 aggettivi utili,amusant,m,divertente,divertenti,'Divertente' → 'divertissant'
100 aggettivi utili,beau,m,bello,belli,'Bello' → 'beau' (quasi identique)
100 aggettivi utili,bon,m,buono,buoni,'Buono' → 'bon' (quasi identique)
100 aggettivi utili,calme,m/f,calmo/calma,calmi/calme,'Calmo' → 'calme' (quasi identique)
100 aggettivi utili,capable,m/f,capace,capaci,'Capace' → 'capable' (quasi identique)
100 aggettivi utili,cher,m,caro,cari,'Caro' → 'cher' (aussi utilisé pour 'chéri' !)
100 aggettivi utili,clair,m,chiaro,chiari,'Chiaro' → 'clair' (proche)
100 aggettivi utili,complet,m,completo,completi,'Completo' → 'complet' (quasi identique)
100 aggettivi utili,confortable,m/f,comodo,comodi,'Comodo' → 'commode' = confortable
100 aggettivi utili,content,m,contento,contenti,'Contento' → 'content' (quasi identique)
100 aggettivi utili,courageux,m,coraggioso,coraggiosi,'Coraggioso' → 'courageux' (proche)
100 aggettivi utili,curieux,m,curioso,curiosi,'Curioso' → 'curieux' (quasi identique)
100 aggettivi utili,dangereux,m,pericoloso,pericolosi,'Pericoloso' → 'périlleux'
100 aggettivi utili,délicieux,m,delizioso,deliziosi,'Delizioso' → 'délicieux' (quasi identique)
100 aggettivi utili,différent,m,diverso,diversi,'Diverso' → 'divers'
100 aggettivi utili,difficile,m/f,difficile,difficili,'Difficile' → identique au français !
100 aggettivi utili,doux,m,dolce,dolci,'Dolce' → 'doux / sucré'
100 aggettivi utili,dynamique,m/f,dinamico,dinamici,'Dinamico' → 'dynamique' (quasi identique)
100 aggettivi utili,efficace,m/f,efficace,efficaci,'Efficace' → identique au français !
100 aggettivi utili,élégant,m,elegante,eleganti,'Elegante' → 'élégant' (quasi identique)
100 aggettivi utili,énervé,m,arrabbiato,arrabbiati,'Arrabbiato' → 'en rage' = énervé
100 aggettivi utili,ennuyant,m,noioso,noiosi,'Noioso' → 'ennuyeux' (penser à 'ennui')
100 aggettivi utili,étrange,m,strano,strani,'Strano' → 'étrange' (proche)
100 aggettivi utili,excellent,m,eccellente,eccellenti,'Eccellente' → 'excellent' (quasi identique)
100 aggettivi utili,facile,m/f,facile,facili,'Facile' → identique au français !
100 aggettivi utili,faible,m,debole,deboli,'Debole' → 'débile' (sens étymologique : faible)
100 aggettivi utili,fatigué,m,stanco,stanchi,'Stanco' → à retenir par cœur
100 aggettivi utili,fort,m,forte,forti,'Forte' → terme musical = fort !
100 aggettivi utili,fragile,m/f,fragile,fragili,'Fragile' → identique au français !
100 aggettivi utili,frais,m,fresco,freschi,'Fresco' → 'fresque' (peinte à frais)
100 aggettivi utili,froid,m,freddo,freddi,'Freddo' → 'froid' (proche)
100 aggettivi utili,généreux,m,generoso,generosi,'Generoso' → 'généreux' (quasi identique)
100 aggettivi utili,gentil,m,gentile,gentili,'Gentile' → 'gentil' (quasi identique)
100 aggettivi utili,grand,m,grande,grandi,'Grande' → 'grand' (quasi identique)
100 aggettivi utili,heureux,m,felice,felici,'Felice' → 'félicitations' (heureux)
100 aggettivi utili,honnête,m/f,onesto,onesti,'Onesto' → 'honnête' (proche)
100 aggettivi utili,horrible,m/f,orribile,orribili,'Orribile' → 'horrible' (quasi identique)
100 aggettivi utili,important,m,importante,importanti,'Importante' → 'important' (quasi identique)
100 aggettivi utili,impossible,m/f,impossibile,impossibili,'Impossibile' → 'impossible' (quasi identique)
100 aggettivi utili,incroyable,m/f,incredibile,incredibili,'Incredibile' → 'incroyable' (quasi identique)
100 aggettivi utili,inquiet,m,preoccupato,preoccupati,'Preoccupato' → 'préoccupé' = inquiet
100 aggettivi utili,intelligent,m,intelligente,intelligenti,'Intelligente' → 'intelligent' (quasi identique)
100 aggettivi utili,intéressant,m,interessante,interessanti,'Interessante' → 'intéressant' (quasi identique)
100 aggettivi utili,jaloux,m,geloso,gelosi,'Geloso' → 'jaloux' (penser à 'gel' qui fige)
100 aggettivi utili,jeune,m/f,giovane,giovani,'Giovane' → 'jouvenceau' (jeune)
100 aggettivi utili,léger,m,leggero,leggeri,'Leggero' → 'léger' (proche)
100 aggettivi utili,lent,m,lento,lenti,'Lento' → terme musical = lent !
100 aggettivi utili,long,m,lungo,lunghi,'Lungo' → 'long' (quasi identique)
100 aggettivi utili,lourd,m,pesante,pesanti,'Pesante' → 'pesant' = lourd
100 aggettivi utili,magnifique,m,magnifico,magnifici,'Magnifico' → 'magnifique' (quasi identique)
100 aggettivi utili,malade,m,malato,malati,'Malato' → 'mal + ato' = malade
100 aggettivi utili,mauvais,m,cattivo,cattivi,'Cattivo' → 'captif' (mauvais prisonnier au Moyen-Âge)
100 aggettivi utili,merveilleux,m,meraviglioso,meravigliosi,'Meraviglioso' → 'merveilleux' (proche)
100 aggettivi utili,moderne,m,moderno,moderni,'Moderno' → 'moderne' (quasi identique)
100 aggettivi utili,motivé,m,motivato,motivati,'Motivato' → 'motivé' (quasi identique)
100 aggettivi utili,mystérieux,m,misterioso,misteriosi,'Misterioso' → 'mystérieux' (quasi identique)
La famiglia e gli amici,l'arrière-grand-père,m,il bisnonno,i bisnonni,'Bis' = deux fois → avant le nonno
La famiglia e gli amici,l'arrière-grand-mère,f,la bisnonna,le bisnonne,'Bis' = deux fois → avant la nonna
La famiglia e gli amici,le grand-père,m,il nonno,i nonni,'Nonno' → doux comme 'nounours'
La famiglia e gli amici,la grand-mère,f,la nonna,le nonne,'Nonna' → la reine de la cuisine italienne !
La famiglia e gli amici,le père,m,il padre / il papà,i padri,'Padre' → latin pater
La famiglia e gli amici,la mère,f,la madre / la mamma,le madri,'Madre' → latin mater
La famiglia e gli amici,les parents,m pl,il genitore (sg),i genitori,'Genitori' → 'géniteurs'
La famiglia e gli amici,l'enfant,m,il bambino,i bambini,'Bambino' → mondialement connu !
La famiglia e gli amici,le fils,m,il figlio,i figli,'Figlio' → 'fils' (proche)
La famiglia e gli amici,la fille,f,la figlia,le figlie,'Figlia' → féminin de figlio
La famiglia e gli amici,le bébé,m,il bambino,i bambini,Même mot que 'enfant' en contexte
La famiglia e gli amici,l'adolescent,m,l'adolescente,gli adolescenti,'Adolescente' → identique au français !
La famiglia e gli amici,le frère,m,il fratello,i fratelli,'Fratello' → 'fraternel'
La famiglia e gli amici,la sœur,f,la sorella,le sorelle,'Sorella' → 'sororité'
La famiglia e gli amici,le demi-frère,m,il fratellastro,i fratellastri,'Fratellastro' → fratello + suffixe péjoratif
La famiglia e gli amici,la demi-sœur,f,la sorellastra,le sorellastre,'Sorellastra' → sorella + suffixe
La famiglia e gli amici,le jumeau,m,il gemello,i gemelli,'Gemelli' → signe du zodiaque (Gémeaux) !
La famiglia e gli amici,l'oncle,m,lo zio,gli zii,Court et simple !
La famiglia e gli amici,la tante,f,la zia,le zie,Court et simple !
La famiglia e gli amici,le cousin,m,il cugino,i cugini,'Cugino' → proche du français
La famiglia e gli amici,la cousine,f,la cugina,le cugine,Féminin de cugino
La famiglia e gli amici,le neveu,m,il nipote,i nipoti,Attention : même mot pour neveu et petit-fils !
La famiglia e gli amici,la nièce,f,la nipote,le nipoti,Même mot que petit-fils au féminin
La famiglia e gli amici,le petit-fils,m,il nipote,i nipoti,Même mot que neveu !
La famiglia e gli amici,la petite-fille,f,la nipote,le nipoti,Même mot que nièce !
La famiglia e gli amici,le fiancé,m,il fidanzato,i fidanzati,'Fidanzato' → 'fiancé' (proche)
La famiglia e gli amici,la fiancée,f,la fidanzata,le fidanzate,Féminin de fidanzato
La famiglia e gli amici,le mari,m,il marito,i mariti,'Marito' → 'mariage'
La famiglia e gli amici,la femme / l'épouse,f,la moglie,le mogli,Irrégulier ! À mémoriser absolument
La famiglia e gli amici,les beaux-parents,m pl,il suocero (sg),i suoceri,'Suocero/a' → à retenir par cœur
La famiglia e gli amici,le beau-père (remarié),m,il patrigno,i patrigni,'Patrigno' → pater + suffixe
La famiglia e gli amici,la belle-mère (remariée),f,la matrigna,le matrigne,'Matrigna' → mater + suffixe
La famiglia e gli amici,le beau-frère,m,il cognato,i cognati,'Cognato' → 'cognat' (droit romain)
La famiglia e gli amici,la belle-sœur,f,la cognata,le cognate,Féminin de cognato
La famiglia e gli amici,le gendre,m,il genero,i generi,'Genero' → lié au genre/famille
La famiglia e gli amici,le parrain,m,il padrino,i padrini,'Padrino' = Le Parrain ! (film célèbre)
La famiglia e gli amici,la marraine,f,la madrina,le madrine,'Madrina' = petite mère
La famiglia e gli amici,le filleul,m,il figlioccio,i figlioccio,'Figlioccio' → 'petit fils spirituel'
La famiglia e gli amici,la filleule,f,la figlioccia,le figliocce,Féminin de figlioccio
La famiglia e gli amici,adopté,m,adottato,adottati,'Adottato' → 'adopté' (quasi identique)
La famiglia e gli amici,enfant unique,m,figlio unico,figli unici,'Unico' → 'unique' (quasi identique)
Il cibo e le bevande,le petit-déjeuner,m,la colazione,le colazioni,'Colazione' → à retenir par cœur
Il cibo e le bevande,le déjeuner,m,il pranzo,i pranzi,'Pranzo' → à retenir par cœur
Il cibo e le bevande,le dîner,m,la cena,le cene,'Cena' → 'La Cène' (le repas du soir)
Il cibo e le bevande,le menu,m,il menu,i menu,Mot français adopté !
Il cibo e le bevande,l'entrée (antipasto),m,l'antipasto,gli antipasti,'Anti + pasto' = avant le plat
Il cibo e le bevande,le plat principal,m,il piatto principale,i piatti principali,'Piatto' = assiette/plat
Il cibo e le bevande,une recette,f,una ricetta,le ricette,'Ricetta' → 'recette' (proche)
Il cibo e le bevande,le pain,m,il pane,i pani,'Pane' → 'pain' (latin panis)
Il cibo e le bevande,le beurre,m,il burro,i burri,'Burro' → 'beurre' (proche)
Il cibo e le bevande,le fromage,m,il formaggio,i formaggi,'Formaggio' → 'fromage' (proche)
Il cibo e le bevande,le lait,m,il latte,i latti,'Latte' → 'lait' (latin lac/lactis)
Il cibo e le bevande,le sucre,m,lo zucchero,gli zuccheri,'Zucchero' → 'sucre' (proche)
Il cibo e le bevande,le sel,m,il sale,i sali,'Sale' → latin sal (comme 'salaire' !)
Il cibo e le bevande,le poivre,m,il pepe,i pepi,'Pepe' → 'pepper'
Il cibo e le bevande,l'huile d'olive,f,l'olio d'oliva,gli oli d'oliva,'Olio' → 'huile'
Il cibo e le bevande,la farine,f,la farina,le farine,'Farina' → 'farine' (quasi identique)
Il cibo e le bevande,le riz,m,il riso,i risi,'Riso' → 'riz' (proche) — aussi 'rire' !
Il cibo e le bevande,les pâtes,f pl,la pasta (sg),le paste,'Pasta' → mondialement connu !
Il cibo e le bevande,les œufs,f pl,l'uovo (sg),le uova,'Uova' → pluriel irrégulier féminin !
Il cibo e le bevande,la confiture,f,la marmellata,le marmellate,'Marmellata' → 'marmelade'
Il cibo e le bevande,le miel,m,il miele,i mieli,'Miele' → 'miel' (quasi identique)
Il cibo e le bevande,le chocolat,m,il cioccolato,i cioccolati,'Cioccolato' → 'chocolat' (proche)
Il cibo e le bevande,un gâteau,m,una torta,le torte,'Torta' → 'tarte' en français
Il cibo e le bevande,un biscuit,m,un biscotto,i biscotti,'Biscotto' → 'biscuit' (quasi identique)
Il cibo e le bevande,un sandwich,m,un panino,i panini,'Panino' → 'petit pain' (mondialement connu)
Il cibo e le bevande,la viande,f,la carne,le carni,'Carne' → 'carné' (à base de viande)
Il cibo e le bevande,le poulet,m,il pollo,i polli,'Pollo' → 'poulet' (proche)
Il cibo e le bevande,le bœuf,m,il manzo,i manzi,'Manzo' → à retenir par cœur
Il cibo e le bevande,le porc,m,il maiale,i maiali,'Maiale' → 'mauvais animal' (vieux sens)
Il cibo e le bevande,le jambon,m,il prosciutto,i prosciutti,'Prosciutto' → mondialement connu !
Il cibo e le bevande,le poisson,m,il pesce,i pesci,'Pesce' → signe du zodiaque (Poissons) !
Il cibo e le bevande,le saumon,m,il salmone,i salmoni,'Salmone' → 'saumon' (quasi identique)
Il cibo e le bevande,le thon,m,il tonno,i tonni,'Tonno' → 'thon' (proche)
Il cibo e le bevande,une crevette,f,un gambero,i gamberi,'Gambero' → 'gamberoni' (grosses crevettes)
Il cibo e le bevande,l'eau,f,l'acqua,le acque,'Acqua' → 'aquatique'
Il cibo e le bevande,le café,m,il caffè,i caffè,'Caffè' → 'café' (quasi identique)
Il cibo e le bevande,le thé,m,il tè,i tè,'Tè' → 'thé' (quasi identique)
Il cibo e le bevande,le vin,m,il vino,i vini,'Vino' → 'vin' (quasi identique)
Il cibo e le bevande,la bière,f,la birra,le birre,'Birra' → 'bière' (proche)
Il cibo e le bevande,le jus d'orange,m,il succo d'arancia,i succhi d'arancia,'Succo' → 'jus / suc'
Il cibo e le bevande,une glace (dessert),m,un gelato,i gelati,'Gelato' → mondialement connu !
Il cibo e le bevande,avoir faim,—,avere fame,—,'Fame' → 'famine' (faim extrême)
Il cibo e le bevande,avoir soif,—,avere sete,—,'Sete' → à retenir par cœur
Il cibo e le bevande,commander,—,ordinare,—,'Ordinare' → 'ordonner / commander'
Il cibo e le bevande,goûter,—,assaggiare,—,'Assaggiare' → 'essayer le goût'
Il cibo e le bevande,sucré,m,dolce,dolci,'Dolce' → 'doux / sucré' (dolce vita !)
Il cibo e le bevande,salé,m,salato,salati,'Salato' → 'salé' (proche)
Il cibo e le bevande,épicé,m,piccante,piccanti,'Piccante' → 'piquant' = épicé
Il cibo e le bevande,amer,m,amaro,amari,'Amaro' → 'amer' (quasi identique)
La casa,à la maison,—,a casa,—,'A casa' → expression très courante
La casa,un appartement,m,un appartamento,gli appartamenti,'Appartamento' → 'appartement' (quasi identique)
La casa,une maison,f,una casa,le case,'Casa' → 'maison' (latin casa)
La casa,une chambre,f,una camera,le camere,'Camera' → 'chambre' (latin camera)
La casa,une cuisine,f,una cucina,le cucine,'Cucina' → 'cuisine' (quasi identique)
La casa,un salon,m,un soggiorno,i soggiorni,'Soggiorno' → 'séjour'
La casa,une salle à manger,f,una sala da pranzo,le sale da pranzo,'Sala da pranzo' → 'salle du dîner'
La casa,une salle de bains,m,un bagno,i bagni,'Bagno' → 'bain' (quasi identique)
La casa,un couloir,m,un corridoio,i corridoi,'Corridoio' → 'corridor'
La casa,un balcon,m,un balcone,i balconi,'Balcone' → 'balcon' (quasi identique)
La casa,un jardin,m,un giardino,i giardini,'Giardino' → 'jardin' (proche)
La casa,un garage,m,un garage,i garage,Mot français adopté !
La casa,un étage,m,un piano,i piani,'Piano' → 'plan / niveau' (aussi instrument !)
La casa,un toit,m,un tetto,i tetti,'Tetto' → 'toit' (proche)
La casa,un mur,m,un muro,i muri,'Muro' → 'mur' (quasi identique)
La casa,un plafond,m,un soffitto,i soffitti,'Soffitto' → 'sofite' (architecture)
La casa,le sol,m,il pavimento,i pavimenti,'Pavimento' → 'pavement'
La casa,les escaliers,f pl,la scala (sg),le scale,'Scala' → 'escalier' (proche)
La casa,une porte,f,una porta,le porte,'Porta' → 'porte' (quasi identique)
La casa,une fenêtre,f,una finestra,le finestre,'Finestra' → 'fenêtre' (proche)
La casa,une clé,f,una chiave,le chiavi,'Chiave' → 'clé / clavier'
La casa,un lit,m,un letto,i letti,'Letto' → 'lit' (quasi identique)
La casa,un canapé,m,un divano,i divani,'Divano' → 'divan'
La casa,une table,f,un tavolo,i tavoli,'Tavolo' → 'table' (proche)
La casa,une chaise,f,una sedia,le sedie,'Sedia' → 'siège / chaise'
La casa,un fauteuil,f,una poltrona,le poltrone,'Poltrona' → 'fauteuil' (à retenir)
La casa,une armoire,m,un armadio,gli armadi,'Armadio' → 'armoire' (quasi identique)
La casa,un miroir,m,uno specchio,gli specchi,'Specchio' → 'speculum' (miroir latin)
La casa,une lampe,f,una lampada,le lampade,'Lampada' → 'lampe' (quasi identique)
La casa,un frigo,m,un frigorifero,i frigoriferi,'Frigorifero' → 'frigidaire'
La casa,un four,m,un forno,i forni,'Forno' → 'four' (quasi identique)
La casa,une douche,f,una doccia,le docce,'Doccia' → 'douche' (proche)
La casa,une baignoire,f,una vasca da bagno,le vasche da bagno,'Vasca' → 'bac / cuve'
La casa,une télévision,m,un televisore,i televisori,'Televisore' → 'téléviseur'
La casa,un aspirateur,m,un aspirapolvere,gli aspirapolvere,'Aspira + polvere' = aspire + poussière
La casa,une poubelle,m,un bidone della spazzatura,i bidoni,'Spazzatura' → 'saleté / ordures'
